femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-45,0,0,0,0,0,0,9,0,0,0,0
-42,0,0,0,0,0,0,9,0,0,0,0
-39,0,0,0,0,0,0,9,0,0,0,0
-36,0,0,0,0,0,0,9,0,0,0,0
-33,0,0,0,0,0,0,6,0,0,0,0
-30,0,0,0,0,0,0,6,0,0,0,0
-27,0,0,0,0,0,0,6,0,0,0,0
-24,0,0,0,0,0,0,6,0,0,0,0
-21,0,0,0,0,0,0,3,0,0,0,0
-18,0,0,0,0,0,0,3,0,0,0,0
-15,0,0,0,0,0,0,3,0,0,0,0
-12,0,0,0,0,0,0,3,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
